Algorithm,Queens,Best result,Iterations,Time,Solved
simmulated_annealing,12,3,200,0.013466596603393555,False
simmulated_annealing,12,2,200,0.013658285140991211,False
simmulated_annealing,12,2,200,0.013819217681884766,False
simmulated_annealing,12,3,200,0.013872146606445312,False
simmulated_annealing,12,1,200,0.013814687728881836,False
simmulated_annealing,12,2,200,0.013711690902709961,False
simmulated_annealing,12,1,200,0.013525962829589844,False
simmulated_annealing,12,2,200,0.013602018356323242,False
simmulated_annealing,12,2,200,0.013499975204467773,False
simmulated_annealing,12,4,200,0.013579368591308594,False
simmulated_annealing,12,3,200,0.013576030731201172,False
simmulated_annealing,12,2,200,0.013705015182495117,False
simmulated_annealing,12,2,200,0.013787508010864258,False
simmulated_annealing,12,3,200,0.013772249221801758,False
simmulated_annealing,12,2,200,0.013589143753051758,False
simmulated_annealing,12,1,200,0.013654708862304688,False
simmulated_annealing,12,3,200,0.013505697250366211,False
simmulated_annealing,12,3,200,0.013689994812011719,False
simmulated_annealing,12,2,200,0.013568878173828125,False
simmulated_annealing,12,1,200,0.01338958740234375,False
simmulated_annealing,12,1,200,0.01373744010925293,False
simmulated_annealing,12,3,200,0.014045000076293945,False
simmulated_annealing,12,3,200,0.014266014099121094,False
simmulated_annealing,12,4,200,0.013365507125854492,False
simmulated_annealing,12,2,200,0.014502286911010742,False
simmulated_annealing,12,3,200,0.013659477233886719,False
simmulated_annealing,12,2,200,0.013884305953979492,False
simmulated_annealing,12,2,200,0.013782262802124023,False
simmulated_annealing,12,2,200,0.01369786262512207,False
Genetic,12,1,200,2.6448020935058594,False
Genetic,12,0,183,2.3781442642211914,True
Genetic,12,1,200,2.7250006198883057,False
Genetic,12,0,183,2.457303285598755,True
Genetic,12,1,200,2.6731832027435303,False
Genetic,12,0,183,2.4355154037475586,True
Genetic,12,1,200,2.737860918045044,False
Genetic,12,0,183,2.4196395874023438,True
Genetic,12,1,200,2.5937891006469727,False
Genetic,12,0,183,2.3986258506774902,True
Genetic,12,1,200,2.642444133758545,False
Genetic,12,0,183,2.455162763595581,True
Genetic,12,1,200,2.6209468841552734,False
Genetic,12,0,183,2.4009571075439453,True
Genetic,12,1,200,2.590031385421753,False
Genetic,12,0,183,2.368732452392578,True
Genetic,12,1,200,2.6024293899536133,False
Genetic,12,0,81,1.0542221069335938,True
Genetic,12,1,200,2.667097330093384,False
